id,review,restaurant_id
1,Intuitive responsive budgetary management,94
2,Optional explicit array,39
3,Persistent methodical projection,4
4,Phased well-modulated leverage,52
5,Extended system-worthy flexibility,48
6,Fully-configurable optimizing concept,31
7,Quality-focused solution-oriented hardware,93
8,Front-line reciprocal workforce,56
9,Optimized foreground synergy,5
10,Front-line bottom-line task-force,2
11,Versatile 24/7 paradigm,35
12,Up-sized 24 hour complexity,91
13,Profit-focused web-enabled system engine,6
14,Future-proofed even-keeled monitoring,88
15,Right-sized fresh-thinking system engine,53
16,Devolved hybrid leverage,98
17,Synchronised client-server flexibility,16
18,Devolved didactic hierarchy,77
19,Programmable optimizing core,50
20,Phased client-server data-warehouse,78
21,Reduced 4th generation attitude,93
22,Multi-channelled real-time process improvement,33
23,Face to face zero tolerance success,61
24,Synchronised systemic neural-net,98
25,Organic holistic analyzer,35
26,Pre-emptive 4th generation capability,1
27,Monitored well-modulated standardization,38
28,User-friendly dynamic functionalities,7
29,Business-focused bandwidth-monitored customer loyalty,97
30,User-friendly value-added Graphic Interface,88
31,Centralized local pricing structure,82
32,Expanded clear-thinking conglomeration,18
33,Networked discrete collaboration,62
34,Networked system-worthy task-force,25
35,Mandatory bi-directional process improvement,73
36,Organized 3rd generation solution,71
37,Up-sized zero defect forecast,54
38,Progressive directional intranet,25
39,Phased fault-tolerant collaboration,41
40,Customizable context-sensitive hub,96
41,Future-proofed 6th generation algorithm,45
42,Function-based web-enabled time-frame,54
43,Exclusive global utilisation,43
44,Distributed 24 hour knowledge user,47
45,Re-engineered eco-centric definition,32
46,Progressive web-enabled initiative,11
47,Sharable scalable policy,28
48,Implemented 24/7 neural-net,46
49,Seamless context-sensitive pricing structure,87
50,Organic well-modulated flexibility,60
51,Horizontal local moderator,57
52,Operative exuding archive,54
53,Multi-tiered high-level focus group,73
54,Object-based dedicated concept,96
55,Optimized executive firmware,98
56,Versatile homogeneous help-desk,69
57,Cloned responsive synergy,61
58,Operative asynchronous support,58
59,Compatible systemic collaboration,59
60,De-engineered human-resource time-frame,32
61,Intuitive zero defect projection,42
62,Future-proofed encompassing circuit,37
63,Future-proofed 3rd generation focus group,16
64,Cloned zero tolerance architecture,85
65,Virtual attitude-oriented model,67
66,Persevering mission-critical info-mediaries,75
67,Expanded client-driven infrastructure,44
68,Cloned bottom-line project,7
69,Secured radical implementation,68
70,Future-proofed 24 hour emulation,55
71,Customizable neutral collaboration,61
72,Programmable local matrices,22
73,Profound 6th generation support,84
74,Optional bottom-line functionalities,97
75,Inverse heuristic application,53
76,Extended background standardization,90
77,Persevering hybrid focus group,49
78,Centralized 6th generation moratorium,81
79,Future-proofed attitude-oriented intranet,16
80,Configurable transitional archive,61
81,Configurable asymmetric throughput,45
82,Phased leading edge local area network,13
83,Operative 5th generation algorithm,93
84,Networked full-range encryption,57
85,Centralized optimizing throughput,31
86,Vision-oriented maximized service-desk,24
87,Managed homogeneous adapter,57
88,Re-engineered foreground functionalities,73
89,Realigned neutral forecast,38
90,Open-source secondary framework,73
91,Optional dynamic open architecture,31
92,Proactive transitional open architecture,61
93,Exclusive static forecast,33
94,Optional content-based hardware,98
95,Quality-focused real-time ability,88
96,Versatile regional capability,95
97,Right-sized upward-trending protocol,37
98,Virtual hybrid initiative,66
99,Reverse-engineered responsive capability,52
100,Team-oriented leading edge contingency,2
101,Vision-oriented discrete superstructure,80
102,Front-line leading edge intranet,62
103,Public-key systematic model,28
104,Ergonomic user-facing solution,22
105,Optimized analyzing open architecture,25
106,Diverse regional hub,31
107,User-centric bottom-line concept,94
108,Ergonomic zero tolerance superstructure,60
109,Upgradable 3rd generation Graphical User Interface,5
110,Versatile 3rd generation archive,31
111,Organized analyzing structure,91
112,Realigned coherent matrices,51
113,Down-sized radical functionalities,52
114,Multi-layered disintermediate Graphical User Interface,16
115,Fully-configurable optimizing migration,100
116,Down-sized coherent adapter,27
117,Assimilated disintermediate product,82
118,Enterprise-wide 5th generation intranet,26
119,Synergistic regional emulation,74
120,Vision-oriented even-keeled paradigm,5
121,Function-based demand-driven archive,88
122,Diverse optimal definition,90
123,Devolved 4th generation collaboration,53
124,Inverse zero tolerance emulation,4
125,Streamlined holistic throughput,96
126,Distributed web-enabled open system,10
127,Self-enabling incremental groupware,67
128,Re-engineered fault-tolerant neural-net,29
129,De-engineered asymmetric middleware,93
130,Cross-group actuating budgetary management,99
131,Automated optimizing matrices,87
132,Synergistic incremental flexibility,2
133,Distributed system-worthy support,66
134,Enhanced interactive ability,26
135,Mandatory mobile system engine,60
136,Reverse-engineered zero defect orchestration,62
137,Fully-configurable multi-tasking success,39
138,Inverse web-enabled superstructure,7
139,User-centric uniform internet solution,70
140,Virtual needs-based orchestration,52
141,Inverse heuristic application,7
142,Monitored optimizing firmware,83
143,Ergonomic discrete groupware,61
144,Stand-alone clear-thinking open architecture,39
145,Adaptive clear-thinking conglomeration,33
146,Cloned exuding throughput,31
147,Self-enabling disintermediate analyzer,4
148,Stand-alone fault-tolerant algorithm,39
149,De-engineered system-worthy initiative,57
150,Robust tangible moderator,1
151,Balanced secondary contingency,67
152,Extended non-volatile conglomeration,70
153,Exclusive attitude-oriented collaboration,9
154,Reverse-engineered 3rd generation methodology,78
155,Innovative systemic productivity,16
156,Quality-focused full-range framework,10
157,Pre-emptive disintermediate project,6
158,Reduced attitude-oriented hierarchy,97
159,Optimized even-keeled firmware,51
160,Advanced background open system,16
161,Open-source reciprocal workforce,85
162,Automated zero administration local area network,31
163,Visionary background attitude,1
164,Extended leading edge workforce,65
165,Streamlined multimedia flexibility,16
166,Devolved holistic moderator,39
167,De-engineered logistical process improvement,43
168,Compatible intangible array,61
169,Universal non-volatile capacity,11
170,Right-sized exuding budgetary management,5
171,Synergistic responsive circuit,11
172,User-friendly radical service-desk,74
173,Optimized exuding functionalities,16
174,Synchronised empowering success,57
175,Public-key dynamic paradigm,80
176,Operative needs-based application,61
177,User-centric local ability,47
178,Diverse zero defect access,83
179,Monitored multimedia secured line,44
180,Public-key upward-trending customer loyalty,51
181,Sharable demand-driven archive,30
182,Future-proofed full-range initiative,31
183,Grass-roots uniform firmware,22
184,Cloned asynchronous migration,45
185,Grass-roots asynchronous success,18
186,Distributed reciprocal functionalities,83
187,Multi-lateral background projection,55
188,Re-contextualized modular adapter,14
189,Horizontal non-volatile core,27
190,Programmable neutral monitoring,88
191,Inverse 4th generation throughput,75
192,Triple-buffered multi-state Graphical User Interface,82
193,Multi-lateral uniform infrastructure,99
194,Multi-lateral context-sensitive moderator,52
195,Networked human-resource success,5
196,Business-focused zero defect ability,27
197,Team-oriented client-server matrix,66
198,Cross-platform responsive moratorium,99
199,Cloned homogeneous model,67
200,Organized scalable extranet,9
201,Programmable 3rd generation approach,27
202,Upgradable encompassing definition,46
203,De-engineered multi-state parallelism,14
204,Business-focused context-sensitive encoding,52
205,Right-sized exuding installation,76
206,Seamless explicit methodology,93
207,User-centric client-server hardware,98
208,Profound heuristic moratorium,44
209,Automated 3rd generation success,82
210,Diverse stable architecture,68
